shovel;лопата;23
disclosing;розкриття;23
jiffy;миттєво;23
malware;шкідливих програм;23
transient;минущій;23
insidious;підступний;23
obtained;отримані;23
awkward;незграбний;23
even number;парне число;23
transparent;прозорий;23
corresponding;відповідний;23
significantly;значно;23
authenticity;автентичність;23
worth the effort;варто зусиль;23
conveys;передає;23
maintainability;ремонтопридатність;23
fraud;шахрайство;23
dedicated;відданий;23
pipe;труба;23
robust;надійний;23
bare;голі;23
vigilance;пильність;23
accurate;точний;23
infrequent;рідко;23
measure;міра;23
mandatory;обов'язковий;23
treated as;розглядається як;23
intercept;перехоплення;23
vulnerabilities;уразливості;23
hostile;вороже;23
explicitly;явно;23
odd number;непарне число;23
fees;збори;23
contributes;сприяє;23
ravine;яр;23
impair;погіршити;23
intergity;цілісність;23
aftermath;наслідки;23
intimidation;залякування;23
prohibited;заборонено;23
established;створена;23
accountability;підзвітність;23
adequately;адекватно;23
affordable;доступний;23
pipeline;трубопровід;23
judiciously;розумно;23
drastically;різко;23
washbasin;умивальник;23
suspected fraud;підозрюваного шахрайства;23
sufficient;достатньо;23
garbled;спотворений;23
intentional misuse;навмисне зловживання;23
abuse;зловживання;23
integrity;цілісність;23
maintain;підтримувати;23
consumer;споживач;23
required;вимагається;23
redemption;викуп;23
screwdriver;викрутка;23
promptly;оперативно;23
supplier;постачальник;23
wilderness areas;райони дикої природи;23
inadvertent;випадково;23
report concerns;звітувати про проблеми;23
variety;різноманітність;23
compatibility;сумісність;23
careless;недбало;23
layout;макет;23
related;пов'язані;23
implicit response;неявний відповідь;23
persistante;стійкий;23
competitor;конкурента;23
convenient;зручний;23
redundant;зайвий;23
adhere;дотримуватися;23
conscious;свідомий;23
impact;вплив;23
comprehensive;всеосяжний;23
negate;заперечувати;23
breach;порушення;23
overstates;завищує;23
shameless;безсоромний;23
sanitary engineering;сантехніка;23
substitute;замінити;23
compliant;сумісний;23
caveats;застереження;23
retaliation;відплати;23
superfluous;зайві;23
maintained;підтримується;23
enhancement;розширення;23
tangled valley;заплутаною долиною;23
bribes;хабарі;23
assembly;складання;23
slight flaw;незначний недолік;23
intention;намір;24
gloomy pools;похмурі басейни;24
curious;цікаво;24
burden;тягар;24
statement;заява;24
percentage;відсоток;24
revenue;дохід;24
unambiguous;однозначний;24
improperly influenced;неналежний вплив;24
below;нижче;24
effort;зусилля;24
consume;споживати;24
unwieldy;громіздкий;24
high cohesion;висока згуртованість;24
utmost importance;велике значення;24
conduct;поведінка;24
commitment;зобов'язання;24
eliminated;ліквідовано;24
ploys;хитрощі;24
jeopardize;піддати небезпеці;24
lurking;ховається;24
elegance;вишуканість;24
exploitation;експлуатації;24
arguably;можливо;24
cross-cutting;наскрізний;24
featured;позначений;24
complying;дотримання;24
probability;ймовірність;24
compromised account;скомпрометований обліковий запис;24
hammer;молоток;24
seed;насіння;24
efficient;ефективний;24
and do not jest!;і не жартуйте!;24
adherence;прихильність;24
mindset;мислення;24
guidance;керівництво;24
uncertain;невизначений;24
bandwidth;пропускної здатності;24
evaluating;оцінювання;24
violate;порушувати;24
cautious;обережний;24
assesment;оцінка;24
menace;загрози;24
reliability;надійність;24
explicit data;явні дані;24
move along;рухатися по;24
unhindered;безперешкодно;24
certain;певний;24
foremost;перш за все;24
wreckage;уламки;24
acquisition;придбання;24
crust;корка;24
ancestor;предок;24
applicable;застосовні;24
spouse;подружжя;24
dispatcher;диспетчер;24
continuity;безперервність;24
riddle;загадка;24
menace;загроза;24
enhancing;посилення;24
parquet board;паркетна дошка;24
desolation;запустіння;24
hat;капелюх;24
integrated;інтегрований;24
comprehend;зрозуміти;24
vulnerability scanning;сканування уразливостей;24
