burden;тягар;24
statement;заява;24
percentage;відсоток;24
unambiguous;однозначний;24
improperly influenced;неналежний вплив;24
consume;споживати;24
high cohesion;висока згуртованість;24
utmost importance;велике значення;24
conduct;поведінка;24
commitment;зобов'язання;24
eliminated;ліквідовано;24
lurking;ховається;24
exploitation;експлуатації;24
cross-cutting;наскрізний;24
complying;дотримання;24
efficient;ефективний;24
adherence;прихильність;24
mindset;мислення;24
guidance;керівництво;24
uncertain;невизначений;24
bandwidth;пропускної здатності;24
evaluating;оцінювання;24
violate;порушувати;24
cautious;обережний;24
assesment;оцінка;24
menace;загрози;24
reliability;надійність;24
move along;рухатися по;24
unhindered;безперешкодно;24
certain;певний;24
foremost;перш за все;24
acquisition;придбання;24
crust;корка;24
ancestor;предок;24
spouse;подружжя;24
riddle;загадка;24
menace;загроза;24
parquet board;паркетна дошка;24
desolation;запустіння;24
hat;капелюх;24
integrated;інтегрований;24
comprehend;зрозуміти;24
vulnerability scanning;сканування уразливостей;24
promptly;оперативно;24
pipeline;трубопровід;24
redemption;викуп;24
fraud;шахрайство;24
persistante;стійкий;24
obtained;отримані;24
explicitly;явно;24
suspected fraud;підозрюваного шахрайства;24
inadvertent;випадково;24
adequately;адекватно;24
careless;недбало;24
screwdriver;викрутка;24
fees;збори;24
treated as;розглядається як;24
washbasin;умивальник;24
intercept;перехоплення;24
convenient;зручний;24
maintained;підтримується;24
intimidation;залякування;24
prohibited;заборонено;24
maintain;підтримувати;24
sufficient;достатньо;24
even number;парне число;24
impact;вплив;24
corresponding;відповідний;24
infrequent;рідко;24
hostile;вороже;24
intergity;цілісність;24
judiciously;розумно;24
jiffy;миттєво;24
compatibility;сумісність;24
aftermath;наслідки;24
overstates;завищує;24
ravine;яр;24
worth the effort;варто зусиль;24
superfluous;зайві;24
breach;порушення;24
related;пов'язані;24
bribes;хабарі;24
pipe;труба;24
insidious;підступний;24
substitute;замінити;24
measure;міра;24
intentional misuse;навмисне зловживання;24
disclosing;розкриття;24
impair;погіршити;24
required;вимагається;24
competitor;конкурента;24
supplier;постачальник;24
integrity;цілісність;24
redundant;зайвий;24
robust;надійний;24
enhancement;розширення;24
dedicated;відданий;24
compliant;сумісний;24
layout;макет;24
bare;голі;24
negate;заперечувати;24
drastically;різко;24
report concerns;звітувати про проблеми;25
maintainability;ремонтопридатність;25
abuse;зловживання;25
effort;зусилля;25
arguably;можливо;25
elegance;вишуканість;25
transparent;прозорий;25
intention;намір;25
sanitary engineering;сантехніка;25
adhere;дотримуватися;25
authenticity;автентичність;25
probability;ймовірність;25
ploys;хитрощі;25
jeopardize;піддати небезпеці;25
mandatory;обов'язковий;25
seed;насіння;25
curious;цікаво;25
conveys;передає;25
unwieldy;громіздкий;25
transient;минущій;25
awkward;незграбний;25
contributes;сприяє;25
established;створена;25
consumer;споживач;25
hammer;молоток;25
continuity;безперервність;25
garbled;спотворений;25
shameless;безсоромний;25
enhancing;посилення;25
wreckage;уламки;25
variety;різноманітність;25
significantly;значно;25
applicable;застосовні;25
comprehensive;всеосяжний;25
explicit data;явні дані;25
retaliation;відплати;25
affordable;доступний;25
dispatcher;диспетчер;25
compromised account;скомпрометований обліковий запис;25
below;нижче;25
vulnerabilities;уразливості;25
accountability;підзвітність;25
accurate;точний;25
wilderness areas;райони дикої природи;25
implicit response;неявний відповідь;25
vigilance;пильність;25
slight flaw;незначний недолік;25
featured;позначений;25
malware;шкідливих програм;25
odd number;непарне число;25
and do not jest!;і не жартуйте!;25
assembly;складання;25
caveats;застереження;25
tangled valley;заплутаною долиною;25
gloomy pools;похмурі басейни;25
revenue;дохід;25
shovel;лопата;25
conscious;свідомий;25
